year,month,temp_c,precip_mm
1988,12,11.5166,43.1572
1989,1,11.4807,10.8304
1989,2,13.2348,111.772
1989,3,11.7323,52.9631
1989,4,13.4925,22.9368
1989,5,14.7509,3.7748
1989,6,20.3452,2.0929
1989,7,20.653,1.5828
1989,8,23.4194,0.5629
1989,9,24.0194,2.1726
1989,10,19.3097,52.8265
1989,11,14.3358,23.4712
1989,12,10.7418,39.1897
1990,1,11.9678,155.1648
1990,2,12.1112,156.0217
1990,3,12.151,60.6734
1990,4,12.8003,75.0423
1990,5,15.6573,2.4208
1990,6,17.1749,4.551
1990,7,22.967,1.5605
1990,8,24.2539,2.8917
1990,9,24.9598,0.5577
1990,10,22.2747,6.6955
1990,11,15.1985,85.9392
1990,12,9.2925,58.6544
1991,1,11.6301,12.9124
1991,2,13.8282,22.1861
1991,3,12.6934,14.8024
1991,4,14.2817,31.9268
1991,5,18.3868,3.7319
1991,6,20.5043,1.0127
1991,7,23.2057,0.9162
1991,8,25.6156,0.3902
1991,9,25.8749,15.6332
1991,10,21.0472,4.4158
1991,11,12.7201,77.6203
1991,12,10.638,9.0782
1992,1,10.1732,78.8845
1992,2,13.9653,0.8261
1992,3,14.5692,30.6737
1992,4,15.5885,75.2641
1992,5,17.555,3.4165
1992,6,20.5108,2.2171
1992,7,22.5826,0.1479
1992,8,24.2679,0.3489
1992,9,22.1115,2.2543
1992,10,18.2516,0.1699
1992,11,13.2628,19.8106
1992,12,11.5341,14.2339
1993,1,10.7058,25.1872
1993,2,12.6507,0.6766
1993,3,14.2934,64.0787
1993,4,13.2994,49.3287
1993,5,17.0093,14.2718
1993,6,19.2275,1.7232
1993,7,23.5087,3.3422
1993,8,23.5934,15.0458
1993,9,22.1881,2.4899
1993,10,17.0499,2.5479
1993,11,13.44,3.5287
1993,12,12.1521,17.9342
1994,1,10.0499,39.6455
1994,2,11.0128,68.4949
1994,3,13.3416,86.7099
1994,4,16.2408,27.1311
1994,5,17.0654,2.436
1994,6,18.1541,3.5413
1994,7,21.5822,0.4815
1994,8,21.5271,1.5832
1994,9,22.9315,33.2999
1994,10,17.9384,0.3013
1994,11,14.4271,36.4446
1994,12,10.2004,59.4771
1995,1,11.1726,96.508
1995,2,11.9345,3.3978
1995,3,13.6283,25.0764
1995,4,12.8625,63.7973
1995,5,16.0259,11.9745
1995,6,20.0043,1.3501
1995,7,22.1293,0.4268
1995,8,26.0287,0.3673
1995,9,20.5634,0.5297
1995,10,19.4006,0.0417
1995,11,12.7511,8.9435
1995,12,10.8574,35.8332
1996,1,10.6127,5.8736
1996,2,11.5616,93.8471
1996,3,13.0815,11.9933
1996,4,13.5302,15.6558
1996,5,18.5745,0.9196
1996,6,20.1838,3.0463
1996,7,24.0515,0.0302
1996,8,23.8481,2.4424
1996,9,20.0611,0.9733
1996,10,16.666,41.243
1996,11,11.9295,40.7927
1996,12,12.1613,29.1118
1997,1,10.3428,0.4972
1997,2,12.0342,51.6843
1997,3,12.6244,27.6608
1997,4,14.0377,11.5821
1997,5,16.727,5.6061
1997,6,20.0201,4.1334
1997,7,22.7915,1.3089
1997,8,24.9767,0.4318
1997,9,24.2592,1.3326
1997,10,19.7135,0.7561
1997,11,13.9846,9.4213
1997,12,8.5378,8.0373
1998,1,11.7896,14.6525
1998,2,11.9431,58.2429
1998,3,13.7087,19.409
1998,4,13.7627,39.5735
1998,5,14.703,9.5851
1998,6,17.7397,2.7227
1998,7,21.9131,1.8638
1998,8,23.6975,0.6151
1998,9,23.7197,128.3304
1998,10,17.6491,84.5835
